holeid,from,to,Avg depth,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE,length,Structure_grp,MOC_grp,Lithology_grp
MRCB21,487,487.5,487.25,9902.5814675,11171.8182525,-317.65625,4,11,1,0.14,0.5,1,1,4
MRCB21,487.5,488,487.75,9902.7467825,11172.0154975,-318.08475,4,11,1,0.08,0.5,1,1,4
MRCB21,488,488.5,488.25,9902.9120975,11172.2127425,-318.51325,4,11,1,0.2,0.5,1,1,4
MRCB21,488.5,489,488.75,9903.0774125,11172.4099875,-318.94175,4,11,1,0.04,0.5,1,1,4
MRCB21,489,489.5,489.25,9903.2427275,11172.6072325,-319.37025,4,11,1,0.1,0.5,1,1,4
MRCB21,489.5,490,489.75,9903.4080425,11172.8044775,-319.79875,4,11,1,0.08,0.5,0,1,4
MRCB21,490,490.5,490.25,9903.5733575,11173.0017225,-320.22725,5,11,0,0.01,0.5,0,1,4
MRCB21,490.5,491,490.75,9903.7386725,11173.1989675,-320.65575,5,11,0,0.01,0.5,0,1,4
MRCB21,491,491.5,491.25,9903.9039875,11173.3962125,-321.08425,5,11,0,0.01,0.5,0,1,4
MRCB21,491.5,492,491.75,9904.0693025,11173.5934575,-321.51275,5,11,0,0.28,0.5,0,1,4
MRCB21,492,492.5,492.25,9904.2346175,11173.7907025,-321.94125,5,11,0,0.04,0.5,0,1,4
MRCB21,492.5,493,492.75,9904.3999325,11173.9879475,-322.36975,5,11,0,0.01,0.5,0,1,5
MRCB21,493,493.5,493.25,9904.5652475,11174.1851925,-322.79825,6,11,0,0.01,0.5,0,1,5
MRCB21,493.5,494,493.75,9904.7305625,11174.3824375,-323.22675,6,11,0,0.07,0.5,0,1,5
MRCB21,494,494.5,494.25,9904.8958775,11174.5796825,-323.65525,6,11,0,0.04,0.5,0,1,5
MRCB21,494.5,495,494.75,9905.0611925,11174.7769275,-324.08375,6,11,0,0.06,0.5,0,1,5
MRCB21,495,495.5,495.25,9905.2265075,11174.9741725,-324.51225,6,11,0,0.01,0.5,0,1,5
MRCB21,495.5,496,495.75,9905.3918225,11175.1714175,-324.94075,6,11,0,0.13,0.5,0,4,4
MRCB21,496,496.5,496.25,9905.5571375,11175.3686625,-325.36925,7,12,0,0.04,0.5,0,4,4
MRCB21,496.5,497,496.75,9905.7224525,11175.5659075,-325.79775,7,12,0,0.06,0.5,0,4,4
MRCB21,497,497.5,497.25,9905.8877675,11175.7631525,-326.22625,7,12,0,0.01,0.5,0,4,4
MRCB21,497.5,498,497.75,9906.0530825,11175.9603975,-326.65475,7,12,0,0.01,0.5,0,4,4
MRCB21,498,498.5,498.25,9906.2183975,11176.1576425,-327.08325,7,12,0,0.09,0.5,0,4,4
MRCB21,498.5,499,498.75,9906.3837125,11176.3548875,-327.51175,7,12,0,0.05,0.5,0,1,2
MRCB21,499,499.5,499.25,9906.5490275,11176.5521325,-327.94025,8,11,0,0.23,0.5,0,1,2
MRCB21,499.5,500,499.75,9906.7143425,11176.7493775,-328.36875,8,11,0,0.1,0.5,0,1,2
MRCB21,500,500.5,500.25,9906.8796575,11176.9466225,-328.79725,8,11,0,0.14,0.5,0,1,2
MRCB21,500.5,501,500.75,9907.0449725,11177.1438675,-329.22575,8,11,0,0.18,0.5,0,1,2
MRCB21,501,501.5,501.25,9907.2102875,11177.3411125,-329.65425,8,11,0,0.27,0.5,0,1,2
MRCB21,501.5,502,501.75,9907.3756025,11177.5383575,-330.08275,8,11,0,0.11,0.5,0,1,2
MRCB21,502,502.5,502.25,9907.5409175,11177.7356025,-330.51125,8,11,0,0.12,0.5,0,1,2
MRCB21,502.5,503,502.75,9907.7062325,11177.9328475,-330.93975,8,11,0,0.26,0.5,0,1,2
MRCB21,503,503.5,503.25,9907.8715475,11178.1300925,-331.36825,8,11,0,0.06,0.5,0,1,2
MRCB21,503.5,504,503.75,9908.0368625,11178.3273375,-331.79675,8,11,0,0.17,0.5,0,1,2
MRCB21,504,504.5,504.25,9908.2021775,11178.5245825,-332.22525,8,11,0,0.26,0.5,0,1,2
MRCB21,504.5,505,504.75,9908.3674925,11178.7218275,-332.65375,8,11,0,0.06,0.5,0,1,2
MRCB21,505,505.5,505.25,9908.5328075,11178.9190725,-333.08225,8,11,0,0.16,0.5,0,1,2
MRCB21,505.5,506,505.75,9908.6981225,11179.1163175,-333.51075,8,11,0,0.07,0.5,0,1,2
MRCB21,506,506.5,506.25,9908.8634375,11179.3135625,-333.93925,8,11,0,0.04,0.5,1,2,1
MRCB21,506.5,507,506.75,9909.0287525,11179.5108075,-334.36775,1,8,2,0.03,0.5,1,2,1
MRCB21,507,507.5,507.25,9909.1940675,11179.7080525,-334.79625,1,8,2,0.04,0.5,1,2,1
MRCB21,507.5,508,507.75,9909.3593825,11179.9052975,-335.22475,1,8,2,0.01,0.5,0,2,1
MRCB21,508,508.5,508.25,9909.5246975,11180.1025425,-335.65325,1,8,0,0.03,0.5,0,2,1
MRCB21,508.5,509,508.75,9909.6900125,11180.2997875,-336.08175,1,8,0,0.02,0.5,0,2,1
MRCB21,509,509.5,509.25,9909.8553275,11180.4970325,-336.51025,1,8,0,0.01,0.5,0,4,2
MRCB21,509.5,510,509.75,9910.0206425,11180.6942775,-336.93875,8,13,0,0.04,0.5,0,4,2
MRCB21,510,510.5,510.25,9910.1859575,11180.8915225,-337.36725,8,13,0,0.06,0.5,0,4,2
MRCB21,510.5,511,510.75,9910.3512725,11181.0887675,-337.79575,8,13,0,0.17,0.5,0,4,2
MRCB21,511,511.5,511.25,9910.5165875,11181.2860125,-338.22425,8,13,0,0.36,0.5,0,4,2
MRCB21,511.5,512,511.75,9910.6819025,11181.4832575,-338.65275,8,13,0,0.04,0.5,0,4,2
MRCB21,512,512.5,512.25,9910.8472175,11181.6805025,-339.08125,8,13,0,0.03,0.5,0,4,2
MRCB21,512.5,513,512.75,9911.0125325,11181.8777475,-339.50975,8,13,0,0.04,0.5,0,4,2
MRCB21,513,513.5,513.25,9911.1778475,11182.0749925,-339.93825,8,13,0,0.05,0.5,0,4,2
MRCB21,513.5,514,513.75,9911.3431625,11182.2722375,-340.36675,8,13,0,0.1,0.5,1,2,2
MRCB21,514,514.5,514.25,9911.5084775,11182.4694825,-340.79525,8,14,1,0.06,0.5,1,4,2
MRCB21,514.5,515,514.75,9911.6737925,11182.6667275,-341.22375,8,15,1,0.06,0.5,1,4,2
MRCB21,515,515.5,515.25,9911.8391075,11182.8639725,-341.65225,8,15,1,0.11,0.5,1,4,2
MRCB21,515.5,516,515.75,9912.0044225,11183.0612175,-342.08075,8,15,1,0.13,0.5,1,4,2
MRCB21,516,516.5,516.25,9912.1697375,11183.2584625,-342.50925,8,15,1,0.14,0.5,1,4,2
MRCB21,516.5,517,516.75,9912.3350525,11183.4557075,-342.93775,8,15,1,0.07,0.5,0,2,2
MRCB21,517,517.5,517.25,9912.5003675,11183.6529525,-343.36625,8,8,0,0.02,0.5,0,2,2
MRCB21,517.5,518,517.75,9912.6656825,11183.8501975,-343.79475,8,8,0,0.03,0.5,0,2,2
MRCB21,518,518.5,518.25,9912.8309975,11184.0474425,-344.22325,8,8,0,0.01,0.5,0,2,2
MRCB21,518.5,519,518.75,9912.9963125,11184.2446875,-344.65175,8,8,0,0.01,0.5,0,2,2
MRCB21,519,519.5,519.25,9913.1616275,11184.4419325,-345.08025,8,8,0,0.01,0.5,0,2,2
MRCB21,519.5,520,519.75,9913.3269425,11184.6391775,-345.50875,8,8,0,0.03,0.5,0,2,2
MRCB21,520,520.5,520.25,9913.4922575,11184.8364225,-345.93725,8,8,0,0.04,0.5,0,2,2
MRCB21,520.5,521,520.75,9913.6575725,11185.0336675,-346.36575,8,8,0,0.07,0.5,0,2,2
MRCB21,521,521.5,521.25,9913.8228875,11185.2309125,-346.79425,8,8,0,0.03,0.5,0,2,2
MRCB21,521.5,522,521.75,9913.9882025,11185.4281575,-347.22275,8,8,0,0.18,0.5,0,2,2
MRCB21,522,522.5,522.25,9914.1535175,11185.6254025,-347.65125,8,8,0,0.08,0.5,0,2,2
MRCB21,522.5,523,522.75,9914.3188325,11185.8226475,-348.07975,8,8,0,0.01,0.5,0,2,3
MRCB21,523,523.5,523.25,9914.4841475,11186.0198925,-348.50825,9,8,0,0.01,0.5,0,2,3
MRCB21,523.5,524,523.75,9914.6494625,11186.2171375,-348.93675,9,8,0,0.01,0.5,1,2,3
MRCB21,529,529.5,529.25,9916.4679275,11188.3868325,-353.65025,9,14,2,0.03,0.5,1,2,3
MRCB21,529.5,530,529.75,9916.6332425,11188.5840775,-354.07875,9,14,2,0.03,0.5,1,2,3
MRCB21,530,530.5,530.25,9916.7985575,11188.7813225,-354.50725,9,14,2,0.01,0.5,1,2,3
MRCB21,530.5,531,530.75,9916.9638725,11188.9785675,-354.93575,9,14,2,0.01,0.5,1,2,3
MRCB21,531,531.5,531.25,9917.1291875,11189.1758125,-355.36425,9,14,2,0.01,0.5,0,2,6
MRCB21,531.5,532,531.75,9917.2945025,11189.3730575,-355.79275,10,14,0,0.01,0.5,0,2,6
MRCB21,532,532.5,532.25,9917.4598175,11189.5703025,-356.22125,10,14,0,0.07,0.5,0,2,6
MRCB21,532.5,533,532.75,9917.6251325,11189.7675475,-356.64975,10,14,0,0.01,0.5,0,2,6
MRCB21,533,533.5,533.25,9917.7904475,11189.9647925,-357.07825,10,14,0,0.1,0.5,0,2,6
MRCB21,533.5,534,533.75,9917.9557625,11190.1620375,-357.50675,10,14,0,0.01,0.5,0,2,6
MRCB21,534,534.5,534.25,9918.1210775,11190.3592825,-357.93525,10,14,0,0.07,0.5,0,2,6
MRCB21,534.5,535,534.75,9918.2863925,11190.5565275,-358.36375,10,14,0,0.01,0.5,0,4,6
MRCB21,535,535.5,535.25,9918.4517075,11190.7537725,-358.79225,10,16,0,0.01,0.5,0,4,6
MRCB21,535.5,536,535.75,9918.6170225,11190.9510175,-359.22075,10,16,0,0.01,0.5,0,4,6
MRCB21,536,536.5,536.25,9918.7823375,11191.1482625,-359.64925,10,16,0,0.04,0.5,0,4,6
MRCB21,536.5,537,536.75,9918.9476525,11191.3455075,-360.07775,10,16,0,0.14,0.5,0,4,6
MRCB21,537,537.5,537.25,9919.1129675,11191.5427525,-360.50625,10,16,0,0.01,0.5,0,4,6
MRCB21,537.5,538,537.75,9919.2782825,11191.7399975,-360.93475,10,16,0,0.01,0.5,0,2,6
MRCB21,538,538.5,538.25,9919.4435975,11191.9372425,-361.36325,10,8,0,0.01,0.5,0,2,6
MRCB21,538.5,539,538.75,9919.6089125,11192.1344875,-361.79175,10,8,0,0.02,0.5,0,2,6
MRCB21,539,539.5,539.25,9919.7742275,11192.3317325,-362.22025,10,8,0,0.01,0.5,0,1,3
MRCB21,539.5,540,539.75,9919.9395425,11192.5289775,-362.64875,11,17,0,0.29,0.5,0,1,3
MRCB21,540,540.5,540.25,9920.1048575,11192.7262225,-363.07725,11,17,0,0.08,0.5,0,1,3
MRCB21,540.5,541,540.75,9920.2701725,11192.9234675,-363.50575,11,17,0,0.21,0.5,0,4,1
MRCB21,541,541.5,541.25,9920.4354875,11193.1207125,-363.93425,1,18,0,0.02,0.5,0,4,1
MRCB21,541.5,542,541.75,9920.6008025,11193.3179575,-364.36275,1,18,0,0.01,0.5,0,4,1
MRCB21,542,542.5,542.25,9920.7661175,11193.5152025,-364.79125,1,18,0,0.01,0.5,0,4,1
MRCB21,542.5,543,542.75,9920.9314325,11193.7124475,-365.21975,1,18,0,0.05,0.5,0,4,1
MRCB21,543,543.5,543.25,9921.0967475,11193.9096925,-365.64825,1,18,0,0.01,0.5,0,4,1
MRCB21,543.5,544,543.75,9921.2620625,11194.1069375,-366.07675,1,18,0,0.08,0.5,0,2,1
MRCB21,544,544.5,544.25,9921.4273775,11194.3041825,-366.50525,1,8,0,0.07,0.5,0,2,1
MRCB21,544.5,545,544.75,9921.5926925,11194.5014275,-366.93375,1,8,0,0.01,0.5,0,2,1
MRCB21,545,545.5,545.25,9921.7580075,11194.6986725,-367.36225,1,8,0,0.02,0.5,0,2,1
MRCB21,545.5,546,545.75,9921.9233225,11194.8959175,-367.79075,1,8,0,0.02,0.5,0,4,4
MRCB21,546,546.5,546.25,9922.0886375,11195.0931625,-368.21925,4,18,0,0.02,0.5,0,4,4
MRCB21,546.5,547,546.75,9922.2539525,11195.2904075,-368.64775,4,18,0,0.1,0.5,0,1,4
MRCB21,547,547.5,547.25,9922.4192675,11195.4876525,-369.07625,4,19,0,0.08,0.5,0,1,4
MRCB21,547.5,548,547.75,9922.5845825,11195.6848975,-369.50475,4,19,0,0.06,0.5,0,1,4
MRCB21,548,548.5,548.25,9922.7498975,11195.8821425,-369.93325,4,19,0,0.18,0.5,0,1,4
MRCB21,548.5,549,548.75,9922.9152125,11196.0793875,-370.36175,4,19,0,0.04,0.5,0,1,4
MRCB21,549,549.5,549.25,9923.0805275,11196.2766325,-370.79025,4,19,0,0.26,0.5,0,1,4
MRCB21,549.5,550,549.75,9923.2458425,11196.4738775,-371.21875,4,19,0,0.09,0.5,0,4,7
MRCB21,550,550.5,550.25,9923.4111575,11196.6711225,-371.64725,12,18,0,0.07,0.5,0,4,7
MRCB21,550.5,551,550.75,9923.5764725,11196.8683675,-372.07575,12,18,0,0.14,0.5,0,4,7
MRCB21,551,551.5,551.25,9923.7417875,11197.0656125,-372.50425,12,18,0,0.3,0.5,0,4,7
MRCB21,551.5,552,551.75,9923.9071025,11197.2628575,-372.93275,12,18,0,0.27,0.5,0,4,7
MRCB21,552,552.5,552.25,9924.0724175,11197.4601025,-373.36125,12,18,0,0.3,0.5,0,4,7
MRCB21,552.5,553,552.75,9924.2377325,11197.6573475,-373.78975,12,18,0,0.11,0.5,0,5,8
MRCB21,553,553.5,553.25,9924.4030475,11197.8545925,-374.21825,13,20,0,0.12,0.5,0,5,8
MRCB21,553.5,554,553.75,9924.5683625,11198.0518375,-374.64675,13,20,0,0.01,0.5,0,5,8
MRCB21,554,554.5,554.25,9924.7336775,11198.2490825,-375.07525,13,20,0,0.06,0.5,0,5,8
MRCB21,554.5,555,554.75,9924.8989925,11198.4463275,-375.50375,13,20,0,0.29,0.5,0,5,8
MRCB21,555,555.5,555.25,9925.0643075,11198.6435725,-375.93225,13,20,0,0.07,0.5,0,5,8
MRCB21,555.5,556,555.75,9925.2296225,11198.8408175,-376.36075,13,20,0,0.08,0.5,0,5,8
MRCB21,556,556.5,556.25,9925.3949375,11199.0380625,-376.78925,13,20,0,0.14,0.5,0,5,8
MRCB21,556.5,557,556.75,9925.5602525,11199.2353075,-377.21775,13,20,0,0.07,0.5,0,5,8
