longitude,latitude,elevation
20.30416666666667,79.57916666666667,210.0
20.30416666666667,79.57944444444445,211.0
20.30416666666667,79.57972222222222,211.0
20.30416666666667,79.58,210.0
20.30416666666667,79.58027777777778,210.0
20.30416666666667,79.58055555555555,211.0
20.30416666666667,79.58083333333333,210.0
20.30416666666667,79.58111111111111,210.0
20.30416666666667,79.58138888888888,211.0
20.30416666666667,79.58166666666666,206.0
20.30416666666667,79.58194444444445,202.0
20.30416666666667,79.58222222222223,201.0
20.30416666666667,79.5825,201.0
20.30416666666667,79.58277777777778,202.0
20.30416666666667,79.58305555555556,203.0
20.30416666666667,79.58333333333333,203.0
20.30416666666667,79.58361111111111,204.0
20.30416666666667,79.5838888888889,204.0
20.30416666666667,79.58416666666666,204.0
20.30416666666667,79.58444444444444,206.0
20.30416666666667,79.58472222222223,206.0
20.30416666666667,79.585,207.0
20.30416666666667,79.58527777777778,208.0
20.30416666666667,79.58555555555556,208.0
20.30416666666667,79.58583333333333,209.0
20.30416666666667,79.58611111111111,207.0
20.30416666666667,79.58638888888889,209.0
20.30416666666667,79.58666666666667,210.0
20.30416666666667,79.58694444444444,210.0
20.30416666666667,79.58722222222222,208.0
20.30416666666667,79.5875,207.0
20.30416666666667,79.58777777777777,207.0
20.30416666666667,79.58805555555556,207.0
20.30416666666667,79.58833333333334,207.0
20.30416666666667,79.5886111111111,206.0
20.30416666666667,79.58888888888889,207.0
20.30416666666667,79.58916666666667,208.0
20.30416666666667,79.58944444444444,209.0
20.30416666666667,79.58972222222222,209.0
20.30416666666667,79.59,211.0
20.30416666666667,79.59027777777777,212.0
20.30416666666667,79.59055555555555,212.0
20.30416666666667,79.59083333333334,213.0
20.30416666666667,79.59111111111112,213.0
20.30416666666667,79.59138888888889,212.0
20.30416666666667,79.59166666666667,211.0
20.30416666666667,79.59194444444445,211.0
20.30416666666667,79.59222222222222,213.0
20.30416666666667,79.5925,214.0
20.30416666666667,79.59277777777778,215.0
20.30416666666667,79.59305555555555,215.0
20.30416666666667,79.59333333333333,217.0
20.30416666666667,79.59361111111112,217.0
20.30416666666667,79.59388888888888,216.0
20.30416666666667,79.59416666666667,216.0
20.30416666666667,79.59444444444445,216.0
20.30416666666667,79.59472222222222,216.0
20.30416666666667,79.595,216.0
20.30416666666667,79.59527777777778,215.0
20.30416666666667,79.59555555555555,216.0
20.30416666666667,79.59583333333333,216.0
20.30416666666667,79.59611111111111,215.0
20.30416666666667,79.5963888888889,215.0
20.30416666666667,79.59666666666666,215.0
20.30416666666667,79.59694444444445,213.0
20.30416666666667,79.59722222222223,212.0
20.30416666666667,79.5975,212.0
